subj,ROI,curvPref
1,V1,7
1,V1,8
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,4
1,V1,8
1,V1,8
1,V1,8
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,1
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,8
1,V1,8
1,V1,6
1,V1,5
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,4
1,V1,4
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,7
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,3
1,V1,1
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,5
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,8
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,2
1,V1,2
1,V1,3
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,2
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,3
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,6
1,V1,4
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,1
1,V1,6
1,V1,6
1,V1,5
1,V1,5
1,V1,2
1,V1,8
1,V1,8
1,V1,6
1,V1,8
1,V1,6
1,V1,8
1,V1,7
1,V1,8
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,8
1,V1,6
1,V1,5
1,V1,6
1,V1,7
1,V1,7
1,V1,6
1,V1,8
1,V1,8
1,V1,5
1,V1,6
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,6
1,V1,7
1,V1,7
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,8
1,V1,6
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,3
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,7
1,V1,8
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,4
1,V1,8
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,7
1,V1,5
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,8
1,V1,6
1,V1,4
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,5
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,8
1,V1,5
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,3
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,5
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,8
1,V1,5
1,V1,8
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,3
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,4
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,5
1,V1,7
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,7
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,3
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,8
1,V1,6
1,V1,3
1,V1,5
1,V1,8
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,8
1,V1,7
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,5
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,8
1,V1,8
1,V1,8
1,V1,4
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,5
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,4
1,V1,5
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,7
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,7
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,7
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,8
1,V1,4
1,V1,3
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,5
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,3
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,5
1,V1,7
1,V1,5
1,V1,4
1,V1,6
1,V1,4
1,V1,5
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,5
1,V1,8
1,V1,4
1,V1,4
1,V1,6
1,V1,3
1,V1,4
1,V1,6
1,V1,6
1,V1,4
1,V1,4
1,V1,8
1,V1,8
1,V1,5
1,V1,4
1,V1,8
1,V1,6
1,V1,4
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,4
1,V1,3
1,V1,5
1,V1,6
1,V1,5
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,4
1,V1,8
1,V1,5
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,7
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,4
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,7
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,4
1,V1,4
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,4
1,V1,2
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,4
1,V1,5
1,V1,4
1,V1,6
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,6
1,V1,4
1,V1,4
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,6
1,V1,6
1,V1,5
1,V1,4
1,V1,2
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,4
1,V1,6
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,5
1,V1,3
1,V1,3
1,V1,6
1,V1,6
1,V1,4
1,V1,3
1,V1,4
1,V1,6
1,V1,6
1,V1,6
1,V1,1
1,V1,4
1,V1,7
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,3
1,V1,6
1,V1,3
1,V1,6
1,V1,3
1,V1,6
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,5
1,V1,8
1,V1,3
1,V1,6
1,V1,6
1,V1,1
1,V1,4
1,V1,3
1,V1,6
1,V1,6
1,V1,8
1,V1,8
1,V1,8
1,V1,6
1,V1,2
1,V1,2
1,V1,6
1,V1,6
1,V1,6
1,V1,8
1,V1,6
1,V1,7
1,V1,4
1,V1,1
1,V1,4
1,V1,8
1,V1,6
1,V1,5
1,V1,3
1,V1,6
1,V1,6
1,V1,6
1,V1,2
1,V1,6
1,V1,7
1,V1,2
1,V1,6
1,V1,2
1,V1,4
1,V1,6
1,V1,8
1,V1,6
1,V1,6
1,V1,8
1,V1,3
1,V1,3
1,V1,4
1,V1,6
1,V1,4
1,V1,4
1,V1,6
1,V1,4
1,V1,3
1,V1,4
1,V1,2
1,V1,2
1,V1,8
1,V1,6
1,V1,6
1,V1,6
1,V2,6
1,V2,4
1,V2,3
1,V2,3
1,V2,4
1,V2,3
1,V2,7
1,V2,2
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,4
1,V2,3
1,V2,6
1,V2,4
1,V2,4
1,V2,3
1,V2,4
1,V2,6
1,V2,6
1,V2,4
1,V2,5
1,V2,7
1,V2,4
1,V2,4
1,V2,4
1,V2,3
1,V2,4
1,V2,4
1,V2,3
1,V2,8
1,V2,6
1,V2,6
1,V2,2
1,V2,6
1,V2,6
1,V2,6
1,V2,8
1,V2,6
1,V2,3
1,V2,6
1,V2,6
1,V2,4
1,V2,2
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,7
1,V2,4
1,V2,6
1,V2,8
1,V2,6
1,V2,3
1,V2,6
1,V2,4
1,V2,4
1,V2,4
1,V2,3
1,V2,8
1,V2,6
1,V2,8
1,V2,6
1,V2,6
1,V2,4
1,V2,4
1,V2,4
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,8
1,V2,6
1,V2,6
1,V2,2
1,V2,4
1,V2,4
1,V2,4
1,V2,3
1,V2,6
1,V2,8
1,V2,5
1,V2,8
1,V2,7
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,5
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,1
1,V2,4
1,V2,2
1,V2,6
1,V2,4
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,4
1,V2,6
1,V2,4
1,V2,4
1,V2,6
1,V2,4
1,V2,6
1,V2,4
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,7
1,V2,4
1,V2,4
1,V2,8
1,V2,4
1,V2,8
1,V2,6
1,V2,6
1,V2,2
1,V2,2
1,V2,8
1,V2,8
1,V2,5
1,V2,4
1,V2,4
1,V2,6
1,V2,6
1,V2,4
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,3
1,V2,6
1,V2,6
1,V2,8
1,V2,3
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,4
1,V2,7
1,V2,8
1,V2,7
1,V2,6
1,V2,8
1,V2,8
1,V2,7
1,V2,7
1,V2,8
1,V2,8
1,V2,7
1,V2,6
1,V2,8
1,V2,7
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,4
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,7
1,V2,8
1,V2,2
1,V2,3
1,V2,8
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,2
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,3
1,V2,4
1,V2,8
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,2
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,2
1,V2,6
1,V2,4
1,V2,4
1,V2,6
1,V2,4
1,V2,4
1,V2,6
1,V2,4
1,V2,4
1,V2,4
1,V2,4
1,V2,4
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,4
1,V2,6
1,V2,4
1,V2,7
1,V2,3
1,V2,4
1,V2,4
1,V2,6
1,V2,5
1,V2,6
1,V2,6
1,V2,4
1,V2,8
1,V2,4
1,V2,3
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,4
1,V2,7
1,V2,6
1,V2,8
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,8
1,V2,7
1,V2,5
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,7
1,V2,8
1,V2,8
1,V2,5
1,V2,6
1,V2,6
1,V2,4
1,V2,4
1,V2,4
1,V2,6
1,V2,6
1,V2,8
1,V2,6
1,V2,8
1,V2,8
1,V2,5
1,V2,7
1,V2,5
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,3
1,V2,8
1,V2,4
1,V2,2
1,V2,6
1,V2,8
1,V2,6
1,V2,8
1,V2,6
1,V2,8
1,V2,8
1,V2,8
1,V2,7
1,V2,6
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,7
1,V2,8
1,V2,4
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,7
1,V2,8
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,5
1,V2,4
1,V2,6
1,V2,6
1,V2,5
1,V2,4
1,V2,4
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,3
1,V2,4
1,V2,4
1,V2,4
1,V2,6
1,V2,6
1,V2,4
1,V2,8
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,4
1,V2,4
1,V2,4
1,V2,2
1,V2,4
1,V2,4
1,V2,4
1,V2,6
1,V2,5
1,V2,6
1,V2,4
1,V2,2
1,V2,4
1,V2,4
1,V2,2
1,V2,2
1,V2,2
1,V2,6
1,V2,7
1,V2,8
1,V2,8
1,V2,8
1,V2,3
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,3
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,8
1,V2,8
1,V2,8
1,V2,7
1,V2,6
1,V2,6
1,V2,6
1,V2,8
1,V2,4
1,V2,6
1,V2,8
1,V2,6
1,V2,8
1,V2,6
1,V2,8
1,V2,8
1,V2,8
1,V2,7
1,V2,6
1,V2,6
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,2
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,3
1,V2,7
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,2
1,V2,8
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,8
1,V2,6
1,V2,5
1,V2,6
1,V2,6
1,V2,6
1,V2,2
1,V2,2
1,V2,4
1,V2,5
1,V2,4
1,V2,4
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,4
1,V2,3
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,4
1,V2,7
1,V2,4
1,V2,7
1,V2,2
1,V2,2
1,V2,5
1,V2,3
1,V2,2
1,V2,3
1,V2,4
1,V2,2
1,V2,4
1,V2,3
1,V2,4
1,V2,4
1,V2,6
1,V2,8
1,V2,8
1,V2,8
1,V2,6
1,V2,8
1,V2,8
1,V2,4
1,V2,7
1,V2,8
1,V2,6
1,V2,6
1,V2,3
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,8
1,V2,3
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,8
1,V2,6
1,V2,8
1,V2,7
1,V2,8
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,2
1,V2,8
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,8
1,V2,6
1,V2,3
1,V2,6
1,V2,8
1,V2,6
1,V2,5
1,V2,6
1,V2,6
1,V2,3
1,V2,6
1,V2,2
1,V2,7
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,4
1,V2,2
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,6
1,V2,4
1,V2,6
1,V2,2
1,V2,6
1,V2,2
1,V2,4
1,V2,7
1,V2,7
1,V2,6
1,V2,4
1,V2,4
1,V2,3
1,V2,6
1,V2,8
1,V2,4
1,V2,8
1,V2,3
1,V2,5
1,V2,4
1,V2,4
1,V2,4
1,V2,3
1,V2,4
1,V2,2
1,V2,8
1,V2,8
